# redshift mag mag_err
2.942433549133085524e-01 2.134283176835475615e+01 1.127288426304988850e-01
3.716555832291684180e-01 2.211389154526899503e+01 6.494965956435039267e-02
2.671554248657848629e-01 2.136734127470270650e+01 1.211852642917044115e-01
1.703308034642331548e-01 2.011927927283191408e+01 8.207274555339742761e-02
7.360232098367839315e-01 2.363952538522707059e+01 1.043364147135629749e-01
4.854839555412214791e-01 2.257095269764618450e+01 1.089710406898271589e-01
3.146931634712728520e-01 2.156602744916512648e+01 7.316469169551112484e-02
1.376897728922812369e-01 1.952758635529511722e+01 5.113270770342777383e-02
4.830195705077842683e-01 2.257962031844197881e+01 1.228301435257120877e-01
4.633777443631247328e-01 2.250638215869512848e+01 5.511450347823270562e-02
1.579214944455839265e-01 1.997274524730624279e+01 1.318167124729036077e-01
1.278924855516865022e-01 1.937986875771252926e+01 7.457487096462075971e-02
2.502839625844927030e-01 2.097739776489103036e+01 5.761276478149948699e-02
2.492984655955323148e-01 2.094002610848698964e+01 1.095748027990747497e-01
6.115527200464776492e-01 2.334621289984377412e+01 6.811744138036346374e-02
1.133290791304285422e-01 1.910092549277872465e+01 7.166806759941730942e-02
3.159030419152376590e-01 2.156009127113952317e+01 1.012141297713387844e-01
3.811280590423750114e-01 2.201304873793528216e+01 5.504229606830916138e-02
6.043751147590136208e-01 2.324465396621753044e+01 7.567363995936204901e-02
7.282658495844887003e-01 2.369622967254469614e+01 7.544518910785372179e-02
6.150480086233637289e-01 2.327352489744971464e+01 8.581139428419787274e-02
2.438489122844250401e-01 2.102183045735938194e+01 1.004017540280880416e-01
5.969601317086689063e-01 2.325841905465386716e+01 6.519243785469072683e-02
3.648920000823932530e-01 2.196933498998549794e+01 1.080728696180734139e-01
2.389586344355510428e-01 2.091805602391125873e+01 6.892970179207828785e-02
4.786114664551242570e-01 2.255165239172924885e+01 8.312090350244247250e-02
1.924127393406101227e-01 2.026430407302453318e+01 8.924006364099758282e-02
1.552395095501771793e-01 1.982349924315300882e+01 9.223238960915661200e-02
3.626826387209285407e-01 2.195437201094314261e+01 9.058868081055543309e-02
2.795553389622483231e-01 2.138099675929723276e+01 1.084189356161004147e-01
2.705640226717003216e-01 2.110053835221923180e+01 1.491661442749840361e-01
4.302737905844713495e-01 2.239119583962104798e+01 6.345045913770638868e-02
1.016162120034948879e+00 2.461544302043645160e+01 1.007036060951515405e-01
5.344162071923249657e-01 2.304179105349275503e+01 1.308908529973121793e-01
4.966638788183275754e-01 2.281176445789325413e+01 1.464719688482096771e-01
5.636394224746598125e-01 2.317665848104416071e+01 1.294197164693605129e-01
8.994062649677043719e-01 2.431188654444921227e+01 6.786119136220722381e-02
1.183575442072146711e-01 1.918865644030723772e+01 5.866908031421387559e-02
3.618431166267522398e-02 1.640626884873094582e+01 1.324482421606724691e-01
3.112805788700357956e-01 2.145909115563053859e+01 7.606440409304865424e-02
5.225424652299345274e-01 2.276669098558029702e+01 1.429010602727715795e-01
2.933947568997937183e-01 2.148958939759176801e+01 1.466595158582880143e-01
6.210044878470794005e-01 2.332469081324754967e+01 6.895053519009181064e-02
4.681765299670743730e-01 2.276327517138697587e+01 1.464222990845864270e-01
1.725692015667556478e-01 1.992856901068386577e+01 1.148914840647447949e-01
7.699333971717310376e-01 2.391502658566428963e+01 7.386151825937016524e-02
3.089697626230141769e-01 2.170260877469024052e+01 1.301323980317938278e-01
4.316481590739673080e-01 2.255199503427837726e+01 1.266065850623337430e-01
6.595463332301109149e-01 2.351188190020578972e+01 7.111186895476587222e-02
7.139164980691627971e-01 2.378073012410984077e+01 5.955127134632553360e-02
